"S. No","Template Name","Template DLT ID","Header","Communication Type","Template Content","Template Creator","Template State","Template Created on","Template Registered On Airtel (Y/N)"
"1","Login Verify OTP ISSPLN","'1007011368600792035","ISSPLN","Service Implicit","Your OTP: {#var#} use this OTP valid Upto 24 hours only. ISSPLN","airtel.com","REGISTERED VIA AIRTEL","11/01/2024","Y"
"2","Bank account ISSPL","'1007016332121810180","ISSPLN","Service Implicit","As per your authorization, Bank payment of Rs {#var#} made to {#var#} by {#var#}. ISSPL","airtel.com","REGISTERED VIA AIRTEL","07/02/2022","Y"
"3","Load Penalty ISSPLN","'1007059723508999748","ISSPLN","Service Implicit","Dear customer, This is your account number {#var#}. We have observed that your Contract load is {#var#}, & you have exceeded the demand by {#var#} units. Pay attention & utilize electricity according to your contract load, failure to do so may result in penalty charges being applied. ISSPLN","airtel.com","REGISTERED VIA AIRTEL","30/05/2024","Y"
"4","ISSPL HRMS Query Request","'1007081483032025401","ISSPLN","Service Implicit","Query No : {#var#} of Salary raised by {#var#}. ISSPL","airtel.com","REGISTERED VIA AIRTEL","08/04/2021","Y"
"5","Automatic sending of SMS for new enrollment if Consumer enroll as prepaid UGO system ISSPL","'1007084485424853353","ISSPLN","Service Implicit","Dear Customer, your Connection ID {#var#} has been successfully updated into smart prepaid electricity connection. Kindly recharge your meter timely. For more updates, download UGO App. ISSPL","airtel.com","REGISTERED VIA AIRTEL","20/03/2023","Y"
"6","ISSPLN HRMS Attendance Request","'1007085276188305370","ISSPLN","Service Implicit","Attendance Request  of {#var#}  raised by {#var#}. ISSPL","airtel.com","REGISTERED VIA AIRTEL","08/04/2021","Y"
"7","Automatic sending of SMS and notification to Consumer for new enrollment in MeghaPower ISSPL","'1007094805530602615","ISSPLN","Service Implicit","Dear Customer, you are successfully enrolled with New Connection ID {#var#} for electricity connection. Kindly use this from now onwards. For more updates, download MeghaPower App. ISSPL","airtel.com","REGISTERED VIA AIRTEL","20/03/2023","Y"
"8","ISSPT HRMS INDENT OTP","'1007106451758939785","ISSPLN","Service Implicit","Indent No. {#var#} raised by {#var#}, Owner By {#var#}. ISSPL","airtel.com","REGISTERED VIA AIRTEL","08/04/2021","Y"
"9","ISSUE STATUS HALDHARI ISSPL","'1007107185828379374","ISSPLN","Service Implicit","Hello {#var#}. Your case {#var#} has been {#var#} by {#var#} team. Please let us know your feedback. Call at {#var#} or use your {#var#} app. ISSPL","airtel.com","REGISTERED VIA AIRTEL","17/02/2022","Y"
"10","ISSPL UGO BUDDY UPDATE","'1007116309752106773","ISSPLN","Service Explicit","Dear customer, new version of Ugo Buddy app is available now.You need to update app from playstore and login again to use the app. ISSPL","airtel.com","REGISTERED VIA AIRTEL","16/04/2021","Y"
"11","Assign Task ISSPL","'1007149914005465286","ISSPLN","Service Implicit","{#var#} is assigned a {#var#} task {#var#} by {#var#} starting {#var#} . ISSPL","airtel.com","REGISTERED VIA AIRTEL","27/12/2021","Y"
"12","Inventia Birthday ISSPL","'1007185904301169854","ISSPLN","Service Explicit","{#var#} Inventia family wishes you a very Happy Birthday!!! ISSPL","airtel.com","REGISTERED VIA AIRTEL","12/08/2021","Y"
"13","MePDCL BILL Generation","'1007186501373207383","ISSPLN","Service Implicit","Dear Customer, Your electricity bill for Account No: {#var#} of Rs {#var#} Due on {#var#} is ready. To avoid late charges pay your Bill before due date. MePDCL","airtel.com","REGISTERED VIA AIRTEL","07/06/2022","Y"
"14","Retailer Provide Prize Item ISSPLN","'1007191904654200846","ISSPLN","Service Implicit","Dear {#var#}! Farmer {#var#} having mobile {#var#} has won {#var#} on purchase of ISP Seeds. Please inform ISP Seeds representative for prize collection. ISSPLN","airtel.com","REGISTERED VIA AIRTEL","24/08/2023","Y"
"15","UGO BILL Generation","'1007206034226531120","ISSPLN","Service Implicit","Dear Customer, Your Bill for Account No: {#var#} of Rs{#var#} Due on {#var#} is ready.To avoid late charges pay your Bill before due date.{#var#} UGO Bill","airtel.com","REGISTERED VIA AIRTEL","06/04/2021","Y"
"16","Login Verify OTP ISSPLN","'1007206277297722642","ISSPLN","Service Implicit","Your OTP: {#var#} use this OTP valid Upto 24 hours only. ISSPLN","airtel.com","REGISTERED VIA AIRTEL","11/01/2024","Y"
"17","Support Haldhari Hindi ISSPL","'1007209470217239459","ISSPLN","Service Implicit","नमस्कार {#var#} जी। {#var#} से संपर्क करने के लिए आपका धन्यवाद। आपकी समस्या को {#var#} नंबर से रजिस्टर कर लिया गया है। {#var#} टीम द्वारा आपसे शीघ्र ही संपर्क किया जायेगा।अपनी समस्या की वर्तमान स्थिति की जानकारी के लिए कॉल करें {#var#} पर या अपने {#var#} ऐप पर चेक करें। धन्यवाद । ISSPL","airtel.com","REGISTERED VIA AIRTEL","16/02/2022","Y"
"18","MVVNL Bill","'1007230926431174248","ISSPLN","Service Implicit","Dear Customer, Your electricity bill for Account NO. {#var#} is available at {#var#}. Regards MVVNL","airtel.com","REGISTERED VIA AIRTEL","12/07/2021","Y"
"19","Redeem Points ISSPL","'1007261594830453846","ISSPLN","Service Implicit","OTP for redeem request for {#var#} points is {#var#}. Please share with retailer. Thanks for shopping with us. ISSPL","airtel.com","REGISTERED VIA AIRTEL","20/11/2023","Y"
"20","Payment Acknowledgement Message ISSPL","'1007296124981145890","ISSPLN","Service Implicit","Dear Customer, we received a payment of Rs. {#var#} for Account no. {#var#}. having Meter no. {#var#}. Txn ID {#var#}. ISSPL","airtel.com","REGISTERED VIA AIRTEL","02/11/2022","Y"
"21","Farmer awarded Msg Inventive Software Solutions Private Limited","'1007308457242522051","ISSPLN","Service Implicit","Congratulations! You have won {#var#} . Please collect it from {#var#}. Inventive Software Solutions Private Limited","airtel.com","REGISTERED VIA AIRTEL","14/08/2023","Y"
"22","POWER BILL","'1007331708036012162","ISSPLN","Service Implicit","Good Day Powerbill for acct {#var#} for {#var#} bill delivered. Regards DVVNL.","airtel.com","REGISTERED VIA AIRTEL","03/04/2021","Y"
"23","Farmer Win Prize Item ISSPLN","'1007345699014649374","ISSPLN","Service Implicit","Congratulations {#var#}! You have won {#var#} on purchase of ISP Seeds. Please collect your prize from ISP Seeds representative. ISSPLN","airtel.com","REGISTERED VIA AIRTEL","23/08/2023","Y"
"24","ISSPL HRMS Travel Request","'1007355199665164960","ISSPLN","Service Implicit","Travel Request: {#var#} to {#var#} location is raised by {#var#}. ISSPL","airtel.com","REGISTERED VIA AIRTEL","08/04/2021","Y"
"25","Prepaid Disconnected ISSPLN","'1007364232113612716","ISSPLN","Service Implicit","Dear Customer, your connection is being disconnected due to low balance.  {#var#} ISSPLN","airtel.com","REGISTERED VIA AIRTEL","25/06/2022","Y"
"26","ISSPL HRMS Assign Task ","'1007366909981000259","ISSPLN","Service Implicit","Task {#var#} due on {#var#} has been updated by {#var#}. Status {#var#} . ISSPL","airtel.com","REGISTERED VIA AIRTEL","17/12/2021","Y"
"27","ISSUE STATUS HALDHARI Hindi 2 ISSPL","'1007368127662036243","ISSPLN","Service Implicit","नमस्कार {#var#} जी।आपकी समस्या {#var#} पर {#var#} टीम द्वारा कार्य किया जा रहा है। कृपया अपना अनुभव हमारे साथ साझा करें। कॉल करें {#var#} पर या अपने {#var#} अप्प का इस्तेमाल करें। धन्यवाद। ISSPL","airtel.com","REGISTERED VIA AIRTEL","16/02/2022","Y"
"28","ISSPL HRMS LEAVE REQUEST","'1007396673322229226","ISSPLN","Service Implicit","Leave Request No {#var#} for {#var#} days From {#var#} To {#var#} raised by {#var#}. ISSPL","airtel.com","REGISTERED VIA AIRTEL","08/04/2021","Y"
"29","Ugo Buddy Complaint Resolved","'1007399647447414277","ISSPLN","Service Implicit","Dear Customer, Your Complaint No. {#var#} of Account no. {#var#} related to {#var#} has been resolved. Ugo Buddy","airtel.com","REGISTERED VIA AIRTEL","06/04/2021","Y"
"30","Haldhari OTP NEW ISSPL ","'1007400331172670234","ISSPLN","Service Implicit","{#var#} is the OTP to login into your Haldhari account. We don't ask for your OTP/bank info. Don't share it with anyone. {#var#} - ISSPL","airtel.com","REGISTERED VIA AIRTEL","23/03/2022","Y"
